"bsn","languages"
"01A01",""
"01A02",""
"01A03",""
"01A04","Englisch Französisch Spanisch"
"01B01","Englisch"
"01B01","Englisch"
"01B01","Englisch"
"01B01","Englisch"
"01B01","Englisch Französisch Spanisch"
"01B01","Englisch"
"01B02","Englisch"
"01B03","Englisch"
"01B03","Englisch"
"01B03","Englisch"
"01B03","Englisch Französisch Spanisch"
"01B03","Englisch"
"01B04","Englisch Französisch"
"01B04","Englisch"
"01B04",""
"01B05",""
"01B05","Englisch Französisch Spanisch Italienisch"
"01E03",""
"01E08",""
"01E10",""
"01E12",""
"01E13",""
"01E16",""
"01E18",""
"01E20",""
"01E21",""
"01E25",""
"01E26",""
"01E27",""
"01E28",""
"01E29",""
"01E30",""
"01E31",""
"01E32",""
"01G01","Englisch Französisch"
"01G02","Englisch"
"01G04","Englisch"
"01G05","Englisch"
"01G07","Englisch"
"01G08","Englisch"
"01G10","Englisch"
"01G11","Englisch"
"01G15",""
"01G16","Englisch"
"01G18","Englisch"
"01G19","Englisch"
"01G24","Englisch"
"01G25","Englisch"
"01G27","Englisch"
"01G28",""
"01G29","Englisch"
"01G31","Englisch"
"01G32","Englisch"
"01G35","Englisch"
"01G36","Englisch"
"01G37","Englisch"
"01G38","Englisch"
"01G39","Englisch"
"01G40","Französisch"
"01G41","Englisch"
"01G42","Englisch"
"01G43","Englisch"
"01G44","Englisch Französisch"
"01G45","Englisch"
"01G46",""
"01G47","Englisch"
"01K01","Englisch Französisch"
"01K02","Englisch Französisch"
"01K03","Englisch Französisch Spanisch Türkisch Russisch"
"01K04","Englisch Französisch"
"01K06","Englisch Französisch"
"01K07","Englisch Französisch"
"01K08","Englisch Französisch"
"01K08",""
"01K08",""
"01K09","Englisch Französisch"
"01K10","Englisch Französisch Latein"
"01P01","Englisch Französisch"
"01P03","Englisch Französisch Russisch Hebräisch"
"01P04","Englisch Französisch Russisch"
"01P05","Englisch"
"01P06","Englisch Latein Altgriechisch Japanisch"
"01P07","Englisch"
"01P07","Englisch"
"01P07",""
"01P11","Englisch"
"01P13","Englisch"
"01P14","Englisch Französisch Spanisch"
"01P14","Englisch Französisch Spanisch"
"01P14",""
"01P16","Englisch Französisch Spanisch"
"01P17","Englisch Französisch"
"01P17","Englisch"
"01P17","Englisch"
"01P18",""
"01P18","Englisch Französisch Spanisch"
"01P22","Englisch Spanisch"
"01P22","Englisch Spanisch Chinesisch"
"01P23","Englisch Französisch Spanisch"
"01P24","Englisch"
"01P24",""
"01P25","Englisch"
"01P33",""
"01P34",""
"01P36",""
"01P36",""
"01P37",""
"01P38",""
"01P39","Englisch"
"01P39",""
"01P40",""
"01P42",""
"01P43",""
"01P44",""
"01P45",""
"01P46",""
"01S01","Englisch"
"01S05","Englisch Französisch Latein Russisch"
"01S06","Englisch"
"01S07",""
"01Y02","Englisch Französisch Spanisch Latein"
"01Y04","Englisch Französisch"
"01Y07","Englisch Französisch Spanisch Latein Altgriechisch"
"01Y08","Englisch Französisch Latein Russisch"
"01Y09","Englisch Französisch Latein"
"01Y11","Englisch Französisch Latein Russisch"
"01Y12","Englisch Französisch Latein Chinesisch"
"02A01",""
"02A02",""
"02A03",""
"02A04",""
"02A05",""
"02A06",""
"02A07",""
"02A08",""
"02B01","Englisch"
"02B01",""
"02B01","Englisch"
"02B02","Englisch"
"02B02","Englisch"
"02B02","Englisch Spanisch"
"02B03","Englisch"
"02B03","Englisch"
"02B03","Englisch"
"02B04","Englisch"
"02B04","Englisch"
"02B04","Englisch Türkisch"
"02B04","Englisch"
"02B04","Englisch Französisch Spanisch Russisch"
"02B04","Englisch Spanisch"
"02B05","Englisch Französisch"
"02B05","Englisch"
"02B05",""
"02B05",""
"02B05","Englisch"
"02E01",""
"02E03",""
"02E04",""
"02E05","Englisch Französisch Spanisch"
"02E06",""
"02E07",""
"02E10",""
"02E11",""
"02E12",""
"02E14",""
"02E15",""
"02E17",""
"02E18",""
"02E20",""
"02E21",""
"02E23",""
"02E24",""
"02E26",""
"02E27",""
"02E28",""
"02E29",""
"02E30",""
"02E32",""
"02E33",""
"02E34",""
"02E35",""
"02E36",""
"02E37",""
"02E38",""
"02E39",""
"02G01","Englisch"
"02G02","Englisch"
"02G03","Englisch Französisch"
"02G04","Englisch"
"02G05","Englisch"
"02G07","Englisch"
"02G08","Englisch"
"02G09","Englisch"
"02G10","Englisch"
"02G11","Englisch"
"02G12","Englisch"
"02G13","Englisch Französisch"
"02G14","Englisch"
"02G15","Englisch"
"02G16","Englisch"
"02G18","Englisch"
"02G19","Englisch"
"02G20","Englisch"
"02G21","Englisch Französisch"
"02G22","Englisch"
"02G23","Englisch"
"02G24","Englisch"
"02G26","Englisch Französisch"
"02G27","Englisch"
"02G29","Englisch"
"02G31","Englisch"
"02G32","Englisch"
"02G33","Englisch"
"02G34","Englisch"
"02G35","Englisch"
"02K01","Englisch Französisch Spanisch Russisch"
"02K02","Englisch Französisch Türkisch Latein"
"02K03","Englisch Französisch Türkisch"
"02K04","Englisch Französisch Spanisch"
"02K05","Englisch Spanisch"
"02K06","Englisch Französisch"
"02K07","Englisch Französisch Spanisch"
"02K08","Englisch Spanisch Türkisch"
"02K09","Englisch Spanisch"
"02K10","Englisch Französisch Spanisch"
"02P02","Englisch"
"02P02",""
"02P03","Englisch Türkisch"
"02P04","Russisch"
"02P05","Englisch"
"02P05","Englisch"
"02P07","Englisch Französisch"
"02P07",""
"02P08",""
"02P09","Englisch"
"02P10",""
"02P11","Englisch Französisch Spanisch"
"02P12","Englisch Französisch Chinesisch Arabisch"
"02P13","Englisch Französisch"
"02P14",""
"02P16",""
"02P18",""
"02P19",""
"02P20",""
"02P22","Englisch"
"02P23",""
"02P25",""
"02P26",""
"02P27",""
"02P28",""
"02S01","Englisch"
"02S01","Englisch"
"02S01",""
"02S02",""
"02S03","Englisch Französisch"
"02S04","Englisch"
"02S05","Englisch"
"02S06",""
"02Y01","Englisch Französisch Latein"
"02Y03","Englisch Französisch Latein"
"02Y04","Englisch Französisch Latein"
"02Y05","Englisch Französisch Spanisch Latein"
"02Y06","Englisch Französisch Latein"
"02Y07","Englisch Französisch Spanisch Türkisch Latein"
"02Y08","Englisch Französisch Latein Italienisch"
"03A04","Englisch Französisch Spanisch Russisch"
"03A05",""
"03B02","Englisch"
"03B02","Englisch"
"03B02","Englisch"
"03B03","Englisch"
"03B03","Englisch"
"03B03","Englisch"
"03B03","Englisch"
"03B04","Englisch"
"03B04","Englisch"
"03B04","Englisch Französisch"
"03B04","Englisch Französisch"
"03B04","Englisch Französisch"
"03B06","Englisch"
"03B06","Englisch"
"03B07","Englisch Spanisch"
"03B07","Englisch"
"03B07","Englisch"
"03B07",""
"03B07","Englisch"
"03B08","Englisch"
"03B08","Englisch Französisch"
"03B08","Englisch Französisch"
"03B09","Englisch"
"03B09","Englisch Französisch"
"03B09","Englisch"
"03B09","Englisch"
"03B09","Englisch"
"03E03",""
"03E04",""
"03E07",""
"03E08",""
"03E10",""
"03E11",""
"03E12",""
"03E14",""
"03E15",""
"03E16",""
"03E17",""
"03E18",""
"03E19",""
"03E20",""
"03G01","Englisch"
"03G02","Englisch"
"03G03","Englisch Französisch"
"03G04","Englisch"
"03G05","Englisch"
"03G06","Englisch"
"03G08","Englisch Französisch"
"03G09","Englisch Französisch"
"03G10","Englisch"
"03G11","Englisch"
"03G12","Englisch"
"03G13","Englisch Französisch"
"03G14","Englisch Französisch"
"03G15","Englisch"
"03G16","Englisch Französisch"
"03G17",""
"03G18","Englisch"
"03G20","Englisch"
"03G21",""
"03G22","Englisch"
"03G23","Englisch"
"03G24","Englisch"
"03G25","Englisch"
"03G26","Englisch"
"03G27","Englisch Französisch"
"03G28","Englisch"
"03G29","Englisch"
"03G32","Englisch"
"03G33","Englisch"
"03G34","Englisch Französisch"
"03G35","Englisch"
"03G36","Englisch"
"03G37","Englisch"
"03G38","Englisch"
"03G39",""
"03G40","Englisch"
"03G41","Englisch Französisch"
"03G43","Englisch Französisch"
"03G44","Englisch"
"03G45","Englisch"
"03G46","Englisch"
"03G47","Englisch Französisch"
"03K01","Englisch Französisch Spanisch"
"03K02","Englisch Französisch Latein Russisch"
"03K03","Englisch Französisch Spanisch"
"03K04","Englisch Französisch Spanisch"
"03K04",""
"03K04",""
"03K05","Englisch Spanisch"
"03K06","Englisch Spanisch"
"03K07","Englisch Französisch"
"03K08","Englisch Französisch"
"03K09","Englisch Französisch"
"03K10","Englisch Französisch"
"03K11","Englisch Französisch Spanisch"
"03P02",""
"03P03","Englisch"
"03P03","Englisch Französisch"
"03P04","Englisch"
"03P04","Englisch"
"03P08","Englisch"
"03P08","Englisch"
"03P08",""
"03P10","Englisch Französisch Spanisch Latein"
"03P11",""
"03P12","Englisch"
"03P13","Englisch Französisch Italienisch"
"03P14","Englisch"
"03P15","Englisch"
"03P17",""
"03P18","Chinesisch"
"03P20","Englisch Spanisch"
"03P21","Englisch"
"03P22","Englisch Französisch Spanisch"
"03P23","Englisch"
"03P24","Englisch Französisch Japanisch"
"03P26","Englisch Französisch"
"03P27","Englisch"
"03P28","Englisch Spanisch"
"03P28","Englisch Spanisch"
"03P29",""
"03P29",""
"03P30","Englisch Russisch"
"03P31",""
"03P32","Englisch Französisch"
"03P33","Englisch"
"03P34",""
"03S01","Englisch"
"03S03",""
"03S06","Englisch"
"03S07","Englisch"
"03S08",""
"03S09","Englisch"
"03S10","Englisch Französisch"
"03Y03","Englisch Französisch Spanisch Latein"
"03Y04","Englisch Französisch Spanisch Latein Russisch Altgriechisch"
"03Y08","Englisch Französisch Latein Chinesisch Italienisch"
"03Y10","Englisch Spanisch Latein Russisch"
"03Y13","Englisch Französisch Spanisch Latein Japanisch"
"03Y14","Englisch Französisch Spanisch Latein"
"03Y15","Englisch Französisch Spanisch Latein"
"03Y16","Englisch Französisch Spanisch Latein"
"04A01",""
"04A02",""
"04A03",""
"04A04","Englisch Französisch Spanisch Latein"
"04A06","Englisch Französisch Latein"
"04A07",""
"04A08","Englisch Französisch Spanisch"
"04A09",""
"04B01","Englisch"
"04B01",""
"04B02","Englisch"
"04B02","Englisch"
"04B02","Englisch"
"04B02","Englisch Spanisch"
"04B03","Englisch"
"04B03","Englisch"
"04B03","Englisch"
"04B03","Englisch"
"04B04","Englisch"
"04B04","Englisch"
"04B04","Englisch"
"04B05",""
"04B05","Englisch"
"04B05",""
"04B05","Englisch Französisch Spanisch Latein"
"04B05","Englisch"
"04B06","Englisch"
"04B06","Englisch"
"04B06","Englisch"
"04B07","Englisch"
"04B07","Englisch"
"04B07","Englisch"
"04B08","Englisch"
"04B08","Englisch Spanisch"
"04E01",""
"04E02",""
"04E03",""
"04E04",""
"04E05",""
"04E07",""
"04E09",""
"04E10",""
"04E12",""
"04E13",""
"04E14",""
"04E15",""
"04E17",""
"04E20",""
"04E21",""
"04E22",""
"04E24",""
"04E25",""
"04E27",""
"04E28",""
"04E30",""
"04E31",""
"04E32",""
"04E33",""
"04E34",""
"04E36",""
"04E38",""
"04E40",""
"04E41",""
"04E42",""
"04E43",""
"04E44",""
"04E45",""
"04E46",""
"04E47",""
"04E48",""
"04E50",""
"04E51",""
"04E52",""
"04G01","Englisch Französisch"
"04G02","Englisch"
"04G04","Englisch"
"04G05","Englisch"
"04G06",""
"04G07","Englisch"
"04G08","Englisch"
"04G09","Englisch"
"04G11","Englisch"
"04G12","Englisch"
"04G13","Englisch"
"04G14","Englisch"
"04G15","Englisch Französisch"
"04G17","Englisch Französisch"
"04G18","Englisch"
"04G19","Englisch"
"04G20","Englisch"
"04G21","Englisch"
"04G22","Englisch"
"04G23","Englisch"
"04G24","Englisch Französisch"
"04G25","Englisch"
"04G26","Englisch Französisch"
"04G27","Englisch"
"04K02","Englisch Französisch Spanisch Latein Russisch"
"04K03","Englisch Französisch Spanisch Polnisch"
"04K04","Englisch Französisch"
"04K05","Englisch Französisch Spanisch"
"04K06","Englisch Spanisch"
"04K07","Englisch Französisch"
"04K08","Englisch Französisch"
"04K08",""
"04K08",""
"04P01","Englisch Latein"
"04P02","Englisch Französisch"
"04P03","Englisch"
"04P04","Englisch Französisch Spanisch Latein"
"04P05","Englisch Französisch"
"04P07","Englisch Französisch Spanisch Türkisch Russisch Polnisch Italienisch Portugiesisch"
"04P07","Englisch"
"04P08","Englisch Französisch Spanisch Italienisch Neugriechisch"
"04P09","Englisch"
"04P10","Englisch"
"04P11","Englisch Latein Altgriechisch"
"04P12","Französisch"
"04P15","Englisch"
"04P18","Englisch Spanisch"
"04P20","Englisch"
"04P20","Englisch Spanisch"
"04P20",""
"04P21",""
"04P22","Englisch Französisch"
"04P23",""
"04P23",""
"04P24","Englisch Französisch Spanisch Latein"
"04P25","Englisch"
"04P25","Englisch"
"04P27","Englisch"
"04P34","Englisch"
"04P35","Englisch Spanisch"
"04P36","Englisch"
"04P37",""
"04S01","Englisch"
"04S01",""
"04S02",""
"04S03","Englisch"
"04S04","Englisch"
"04S05",""
"04S05","Englisch"
"04S05",""
"04S06",""
"04S07","Englisch"
"04S07","Englisch"
"04S07",""
"04Y01","Englisch Französisch Latein Italienisch"
"04Y02","Englisch Französisch Spanisch Latein Italienisch"
"04Y03","Englisch Französisch Spanisch Latein"
"04Y04","Englisch Französisch Spanisch Latein"
"04Y05","Englisch Französisch Latein Chinesisch"
"04Y06","Englisch Latein Altgriechisch"
"04Y07","Englisch Französisch Spanisch"
"04Y08","Englisch Französisch Latein Japanisch"
"04Y09","Englisch Französisch Latein"
"04Y10","Englisch Französisch Latein Italienisch"
"04Y11","Englisch Latein Altgriechisch"
"05A01",""
"05A02",""
"05A03",""
"05A04",""
"05B01","Englisch"
"05B01","Englisch Französisch"
"05B01","Englisch Französisch"
"05B01","Englisch Französisch Spanisch"
"05B01","Englisch Französisch"
"05B02","Englisch"
"05B02","Englisch"
"05B02","Englisch"
"05B02",""
"05B02",""
"05E01",""
"05E02",""
"05E03",""
"05G01","Englisch"
"05G02","Englisch Französisch"
"05G03","Englisch"
"05G04","Englisch"
"05G05","Englisch Französisch"
"05G06","Englisch"
"05G07","Englisch"
"05G08","Englisch"
"05G09","Englisch"
"05G10","Englisch"
"05G11","Englisch"
"05G12","Englisch Französisch"
"05G13","Englisch"
"05G14","Englisch Französisch"
"05G15","Englisch"
"05G16","Englisch Französisch"
"05G17","Englisch"
"05G18","Englisch"
"05G19","Englisch Französisch"
"05G20",""
"05G21","Englisch"
"05G22","Englisch"
"05G23","Englisch"
"05G24","Englisch Französisch"
"05G25","Englisch"
"05G26","Englisch"
"05G27","Englisch"
"05G28","Englisch"
"05G29","Englisch Französisch"
"05K01","Englisch Französisch Spanisch Latein"
"05K02","Englisch Französisch Spanisch"
"05K03","Englisch Französisch Spanisch"
"05K04","Englisch Französisch Latein"
"05K05","Englisch Französisch"
"05K06","Englisch Französisch"
"05K07","Englisch Französisch Spanisch"
"05K08","Englisch Französisch"
"05K09","Englisch Französisch"
"05P01","Englisch Französisch Russisch"
"05P02","Englisch"
"05P03","Englisch Französisch"
"05P04",""
"05P04",""
"05P05",""
"05P06",""
"05P08","Englisch"
"05P10","Englisch"
"05P10","Englisch"
"05P13","Englisch Französisch Türkisch"
"05P13","Türkisch"
"05P15","Englisch"
"05P16",""
"05P17",""
"05P18","Englisch Spanisch"
"05P19","Englisch Französisch"
"05P20",""
"05S01","Englisch"
"05S02","Englisch"
"05S03",""
"05S04","Englisch"
"05Y01","Englisch Französisch Latein"
"05Y02","Englisch Französisch Latein"
"05Y03","Englisch Französisch Latein Russisch"
"05Y04","Englisch Französisch Latein Russisch"
"05Y05","Englisch Französisch Latein Chinesisch"
"06A01",""
"06A02",""
"06A03",""
"06A04",""
"06A05",""
"06A06",""
"06A07",""
"06A08",""
"06A09",""
"06B01","Englisch"
"06B01","Englisch"
"06B01","Englisch"
"06B01",""
"06B01","Englisch"
"06B02","Englisch Spanisch Russisch Polnisch"
"06B02","Englisch Polnisch"
"06B02","Englisch Polnisch"
"06B02","Englisch Französisch Spanisch"
"06B02","Englisch"
"06B03","Englisch"
"06B03","Englisch"
"06B03","Englisch"
"06B03","Englisch Französisch"
"06B04","Englisch"
"06B04","Englisch"
"06B04","Englisch"
"06B04","Englisch"
"06E01",""
"06E02",""
"06E05",""
"06E07",""
"06E08",""
"06E13",""
"06E14",""
"06G01",""
